timestamp,order_id,instrument,order_type,position,units,requested_price,executed_price,slippage_pips,slippage_cost,stop_loss_price,take_profit_price,execution_time_ms,spread_cost,commission,financing,account_balance_after,margin_required,status,fill_reason
2025-08-21 19:51:45,124,GBP_USD,LIMIT,l,580579,1.34207,1.34207,0.0,0.0,1.34057,1.34507,55.42059999424964,63.8637,0.0,0.0,96763.3295,38955.6897,FILLED,LIMIT_ORDER
2025-08-21 19:58:55,132,GBP_USD,LIMIT,l,579883,1.34199,1.34199,0.0,0.0,1.34049,1.34499,51.91370006650686,63.7871,0.0,0.0,96647.2137,38906.67,FILLED,LIMIT_ORDER
2025-08-21 20:03:45,140,GBP_USD,LIMIT,l,723592,,1.34204,,,1.34084,1.34444,0.0,0.0,0.0,0.0,0.0,0.0,FILLED,LIMIT_ORDER
2025-08-21 20:04:54,148,GBP_USD,MARKET,l,722507,,1.34203,,,1.34082,1.34442,341.8857000069693,75.8632,0.0,0.0,96334.3292,48477.3297,FILLED,MARKET_ORDER
2025-08-21 20:05:33,156,GBP_USD,LIMIT,s,-577269,1.34188,1.34188,0.0,0.0,1.34338,1.33888,353.44799992162734,60.6132,0.0,0.0,96211.503,38734.1726,FILLED,LIMIT_ORDER
2025-08-21 20:06:35,160,USD_JPY,LIMIT,l,6185,148.404,148.404,0.0,0.0,148.264,148.684,84.79870005976409,0.3334,0.0,0.0,96211.503,309.25,FILLED,LIMIT_ORDER
2025-08-21 20:07:17,164,EUR_USD,LIMIT,l,618502,1.16149,1.16149,0.0,0.0,1.16009,1.16429,346.56380000524223,49.4802,0.0,0.0,96211.503,14366.6882,FILLED,LIMIT_ORDER
2025-08-21 20:08:09,180,GBP_USD,MARKET,l,864181,,1.34209,,,1.34107,1.34407,319.3695000372827,99.3808,0.0,0.0,96020.1313,57985.6809,FILLED,MARKET_ORDER
2025-08-21 20:08:27,184,USD_JPY,MARKET,l,7201,,148.384,,,148.264,148.624,354.4099999126047,0.4125,0.0,0.0,96020.1313,360.05,FILLED,MARKET_ORDER
2025-08-21 20:08:52,188,EUR_USD,MARKET,l,617272,,1.16151,,,1.16011,1.16431,349.79270002804697,52.4681,0.0,0.0,96020.1313,14338.2409,FILLED,MARKET_ORDER
